@relation Features_predicted

@attribute word0 numeric
@attribute word1 numeric
@attribute word2 numeric
@attribute word3 numeric
@attribute word4 numeric
@attribute word5 numeric
@attribute word6 numeric
@attribute word7 numeric
@attribute word8 numeric
@attribute word9 numeric
@attribute word10 numeric
@attribute word11 numeric
@attribute word12 numeric
@attribute word13 numeric
@attribute word14 numeric
@attribute word15 numeric
@attribute word16 numeric
@attribute word17 numeric
@attribute word18 numeric
@attribute word19 numeric
@attribute word20 numeric
@attribute word21 numeric
@attribute word22 numeric
@attribute word23 numeric
@attribute word24 numeric
@attribute word25 numeric
@attribute word26 numeric
@attribute word27 numeric
@attribute word28 numeric
@attribute word29 numeric
@attribute word30 numeric
@attribute word31 numeric
@attribute word32 numeric
@attribute word33 numeric
@attribute word34 numeric
@attribute word35 numeric
@attribute word36 numeric
@attribute word37 numeric
@attribute word38 numeric
@attribute word39 numeric
@attribute word40 numeric
@attribute word41 numeric
@attribute word42 numeric
@attribute word43 numeric
@attribute word44 numeric
@attribute word45 numeric
@attribute word46 numeric
@attribute word47 numeric
@attribute word48 numeric
@attribute word49 numeric
@attribute word50 numeric
@attribute word51 numeric
@attribute word52 numeric
@attribute word53 numeric
@attribute word54 numeric
@attribute word55 numeric
@attribute word56 numeric
@attribute word57 numeric
@attribute word58 numeric
@attribute word59 numeric
@attribute word60 numeric
@attribute word61 numeric
@attribute word62 numeric
@attribute word63 numeric
@attribute word64 numeric
@attribute word65 numeric
@attribute word66 numeric
@attribute word67 numeric
@attribute word68 numeric
@attribute word69 numeric
@attribute word70 numeric
@attribute word71 numeric
@attribute word72 numeric
@attribute word73 numeric
@attribute word74 numeric
@attribute word75 numeric
@attribute word76 numeric
@attribute word77 numeric
@attribute word78 numeric
@attribute word79 numeric
@attribute word80 numeric
@attribute predictedclass {1,2,3,4,5,6,7,8,9,10}
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.114746,0.432453,0.738629,0.17908,0.308046,0.053321,0.261342,0.160066,0.174697,0.138691,0.42498,0.694737,0.17476,0.328352,0.06224,0.204034,0.158891,0.329226,0.116475,0.386746,0.733545,0.229467,0.249615,0.075974,0.280185,0.136415,0.284471,0.114393,0.557973,0.500291,0.227462,0.459462,0.204684,0.123985,0.180437,0.269476,0.151234,0.41101,0.386391,0.223893,0.465744,0.220151,0.147214,0.228227,0.519255,0.152875,0.363938,0.497449,0.319647,0.286272,0.15347,0.133632,0.283312,0.539368,0.31651,0.190754,0.191003,0.105495,0.525188,0.352026,0.455311,0.419673,0.180671,0.412899,0.133702,0.172388,0.182714,0.448624,0.30135,0.331729,0.491892,0.323196,0.300873,0.084078,0.194872,0.208847,0.237653,0.228105,0.308141,0.692144,0.37187,6,5
0.141152,0.33241,0.732887,0.158674,0.212996,0.08541,0.389145,0.309279,0.086774,0.224034,0.31156,0.679732,0.230578,0.217598,0.082077,0.415628,0.30086,0.142086,0.152203,0.263524,0.688146,0.255915,0.155659,0.08298,0.471971,0.306119,0.144123,0.282871,0.53769,0.494547,0.260254,0.408001,0.125821,0.221734,0.245657,0.163567,0.393736,0.448406,0.435418,0.358903,0.381585,0.109806,0.196669,0.285378,0.218449,0.250916,0.366807,0.530257,0.399602,0.263117,0.131799,0.29218,0.386598,0.200526,0.248927,0.334003,0.488217,0.227113,0.525808,0.144203,0.263204,0.319113,0.261079,0.28525,0.308328,0.525648,0.294431,0.422124,0.12605,0.199141,0.337718,0.335831,0.205367,0.336691,0.653048,0.302814,0.242757,0.122052,0.250119,0.379056,0.214999,5,5
0.113948,0.126365,0.870353,0.064577,0.192223,0.132412,0.312309,0.206937,0.1205,0.176219,0.142917,0.851364,0.070361,0.168351,0.107069,0.303389,0.244596,0.164534,0.133499,0.142113,0.871189,0.071567,0.120055,0.097126,0.321714,0.237685,0.118523,0.228737,0.232638,0.6528,0.082213,0.302429,0.214802,0.484772,0.255387,0.15107,0.288997,0.231234,0.663164,0.091685,0.248675,0.174129,0.426398,0.287805,0.240854,0.1548,0.214393,0.71344,0.094398,0.143912,0.175934,0.488564,0.305946,0.167938,0.24367,0.130581,0.101072,0.083125,0.582042,0.372998,0.559426,0.188017,0.283262,0.239026,0.088907,0.061689,0.055028,0.430212,0.303446,0.510195,0.304816,0.545668,0.110382,0.077732,0.06424,0.097067,0.311767,0.339558,0.628242,0.449672,0.398536,5,5
0.18248,0.237631,0.597939,0.188814,0.354414,0.173965,0.315379,0.419956,0.292146,0.196078,0.260489,0.612687,0.1433,0.344729,0.308614,0.335321,0.275904,0.308437,0.177907,0.293758,0.608964,0.140515,0.278009,0.31534,0.433813,0.285742,0.2119,0.418594,0.462728,0.360223,0.242307,0.496771,0.167103,0.179296,0.19641,0.277054,0.435514,0.430178,0.348952,0.256,0.505329,0.257031,0.15787,0.149876,0.262984,0.373878,0.430291,0.423829,0.319579,0.443347,0.270239,0.2014,0.175575,0.228751,0.418464,0.541395,0.539581,0.172706,0.446981,0.06646,0.037194,0.021563,0.068894,0.509383,0.419284,0.543595,0.219785,0.459593,0.054314,0.034772,0.027794,0.069056,0.34465,0.435619,0.707228,0.277102,0.313196,0.085895,0.056172,0.034056,0.068616,7,5
0.13702,0.238855,0.759039,0.071472,0.248004,0.088484,0.490657,0.133364,0.122712,0.231498,0.23232,0.730063,0.095361,0.231221,0.150909,0.45404,0.150993,0.212513,0.187601,0.188234,0.730502,0.101862,0.128308,0.150227,0.548727,0.128505,0.169466,0.238485,0.469678,0.402512,0.096825,0.384192,0.085308,0.59769,0.137682,0.141653,0.36757,0.400981,0.401726,0.167565,0.377124,0.104264,0.540565,0.149818,0.216548,0.277071,0.275148,0.517484,0.227875,0.207984,0.094827,0.658844,0.147931,0.139993,0.146084,0.21493,0.22897,0.064958,0.346513,0.102611,0.848609,0.063641,0.145012,0.237296,0.193021,0.216283,0.101081,0.340877,0.107735,0.809017,0.095223,0.24095,0.240564,0.166743,0.33747,0.191592,0.218876,0.097937,0.813415,0.091099,0.190498,7,6
0.090788,0.251436,0.781361,0.066323,0.234614,0.058516,0.444551,0.229417,0.069904,0.100127,0.220678,0.753658,0.107029,0.217758,0.072062,0.474167,0.272608,0.100293,0.098949,0.18706,0.764318,0.09331,0.111625,0.044987,0.469101,0.342716,0.101658,0.16827,0.537109,0.426756,0.083183,0.350478,0.028462,0.541655,0.273102,0.050378,0.248313,0.462713,0.510219,0.177521,0.332213,0.026656,0.509776,0.243034,0.048848,0.193524,0.361163,0.626483,0.168783,0.163554,0.019534,0.524987,0.323403,0.061707,0.187994,0.642349,0.346572,0.045714,0.560928,0.216149,0.124256,0.138473,0.184032,0.253887,0.559086,0.42684,0.109581,0.492999,0.253087,0.118794,0.185001,0.270783,0.242529,0.586092,0.58729,0.127895,0.251591,0.153387,0.127444,0.238394,0.2766,6,6
0.204456,0.229791,0.842312,0.075513,0.295224,0.064367,0.2831,0.098362,0.095293,0.358103,0.257876,0.77534,0.110147,0.279391,0.062191,0.265358,0.135916,0.145469,0.30887,0.252651,0.800706,0.123257,0.162681,0.119046,0.335127,0.140931,0.107867,0.393886,0.502237,0.205607,0.083981,0.653771,0.11205,0.271918,0.092302,0.1444,0.612509,0.380048,0.234528,0.129779,0.543877,0.125435,0.185047,0.089935,0.233839,0.595694,0.384636,0.386904,0.225394,0.331263,0.234014,0.264497,0.113858,0.221998,0.258444,0.33419,0.196084,0.10291,0.70312,0.141129,0.376689,0.235583,0.246562,0.432428,0.244477,0.275656,0.170911,0.533883,0.144344,0.366742,0.257192,0.376196,0.441991,0.249678,0.465678,0.203086,0.31509,0.126849,0.344571,0.376465,0.329202,6,6
0.101173,0.159023,0.860144,0.103216,0.234581,0.055377,0.331411,0.191488,0.096841,0.125732,0.139252,0.831702,0.117849,0.197646,0.071176,0.405703,0.174445,0.141516,0.11284,0.141312,0.845689,0.095338,0.109799,0.056764,0.418902,0.194829,0.119593,0.19246,0.330539,0.576152,0.212588,0.437964,0.070963,0.413182,0.250048,0.215558,0.240277,0.254982,0.669751,0.27812,0.314016,0.076507,0.390635,0.177824,0.250311,0.223168,0.256735,0.773464,0.253906,0.168775,0.067247,0.330267,0.174296,0.221593,0.100373,0.348525,0.290266,0.161024,0.67994,0.153837,0.281701,0.173075,0.403702,0.088365,0.324655,0.306695,0.239159,0.537705,0.143126,0.186394,0.145157,0.608362,0.141716,0.371234,0.399778,0.27234,0.340951,0.123849,0.153388,0.201974,0.642028,5,6
0.158016,0.0946,0.870294,0.035538,0.296848,0.154594,0.277924,0.100312,0.089912,0.271217,0.119362,0.82106,0.047245,0.24656,0.138737,0.332623,0.137388,0.162073,0.149298,0.073796,0.830338,0.044023,0.138431,0.139216,0.417015,0.228598,0.127132,0.380821,0.313896,0.351774,0.098626,0.601487,0.195626,0.429992,0.16643,0.101603,0.539169,0.296354,0.417445,0.108891,0.426771,0.137026,0.436469,0.171676,0.120268,0.289749,0.216897,0.649372,0.128216,0.221797,0.134386,0.525215,0.28638,0.075885,0.228833,0.285554,0.436789,0.144578,0.790317,0.046982,0.037239,0.033656,0.158359,0.398086,0.264656,0.528448,0.13237,0.649752,0.040201,0.030289,0.028102,0.221818,0.234305,0.236733,0.852729,0.191981,0.333783,0.055993,0.036571,0.030078,0.090908,6,6
0.039404,0.078537,0.757905,0.069889,0.26294,0.116931,0.458424,0.25281,0.236852,0.084173,0.086644,0.735337,0.087739,0.270527,0.153476,0.428974,0.200785,0.340463,0.091966,0.102191,0.712434,0.085934,0.163214,0.156557,0.586608,0.206159,0.168499,0.096432,0.33007,0.48158,0.130294,0.376754,0.093763,0.581034,0.321854,0.202318,0.221532,0.266161,0.446393,0.171193,0.408715,0.131754,0.557843,0.248747,0.306653,0.143496,0.225564,0.544506,0.170972,0.209853,0.099365,0.694831,0.224854,0.124696,0.145952,0.456736,0.68484,0.143228,0.458203,0.056933,0.12177,0.117134,0.19705,0.257112,0.370391,0.633382,0.185676,0.476693,0.064691,0.10827,0.118607,0.322248,0.166458,0.323698,0.840777,0.228203,0.24649,0.046921,0.125598,0.114035,0.129575,6,6
